Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time
201401BS70026,526820,177800,-0.174917,51.484887,1,3,2,1,27/01/2014,2,08:15
201401BS70027,525410,178070,-0.195118,51.487628,1,3,2,1,27/01/2014,2,17:45
201401BS70028,525960,177690,-0.187336,51.484091,1,3,2,1,27/01/2014,2,10:00
201401BS70029,525940,179690,-0.18691,51.50207,1,3,2,1,27/01/2014,2,08:36
201401BS70030,526670,177870,-0.177051,51.48555,1,3,2,1,22/01/2014,4,16:35
201401BS70032,525590,178180,-0.192487,51.488577,1,2,1,1,29/01/2014,4,07:04
201401BS70033,525020,178620,-0.200537,51.492657,1,3,3,5,29/01/2014,4,22:55
201401BS70034,525720,178720,-0.190424,51.493401,1,3,1,1,29/01/2014,4,20:15
201401BS70035,524380,180100,-0.20923,51.5061,1,3,2,1,30/01/2014,5,23:50
201401BS70036,528100,178330,-0.1563,51.489362,1,3,2,1,30/01/2014,5,11:20
201401BS70039,526230,178900,-0.183017,51.494905,1,3,1,1,01/02/2014,7,02:05
201401BS70040,525680,178240,-0.19117,51.489096,1,2,1,1,31/01/2014,6,14:34
201401BS70041,524450,181000,-0.207905,51.514173,1,3,2,1,29/01/2014,4,08:00
201401BS70042,525350,179620,-0.195431,51.501572,1,3,2,1,14/01/2014,3,13:40
201401BS70043,524450,180990,-0.207908,51.514083,1,3,1,1,03/02/2014,2,15:55
201401BS70045,526130,179650,-0.184189,51.501668,1,3,2,1,03/02/2014,2,17:36
201401BS70046,525460,178850,-0.194121,51.494627,1,3,2,1,03/02/2014,2,16:45
201401BS70047,525730,179680,-0.189938,51.502026,1,3,1,2,04/02/2014,3,17:08
201401BS70048,524470,179470,-0.208156,51.500418,1,2,2,1,04/02/2014,3,17:58
201401BS70049,526620,177560,-0.177882,51.482775,1,3,2,1,04/02/2014,3,16:21
201401BS70050,523440,181140,-0.222404,51.515652,1,3,2,2,04/02/2014,3,14:05
201401BS70051,525730,178270,-0.19044,51.489355,1,3,1,1,31/01/2014,6,18:45
201401BS70052,527200,179120,-0.168972,51.496665,1,3,2,1,05/02/2014,4,07:00
201401BS70054,524050,179700,-0.214123,51.502577,1,3,2,1,05/02/2014,4,17:20
201401BS70055,525370,178820,-0.195427,51.494377,1,3,2,2,05/02/2014,4,11:20
201401BS70056,525280,178410,-0.196869,51.490713,1,3,1,1,05/02/2014,4,09:52
201401BS70058,526220,179000,-0.183125,51.495806,1,3,2,1,06/02/2014,5,14:41
201401BS70059,526370,177870,-0.18137,51.485617,1,3,2,1,06/02/2014,5,16:18
201401BS70060,523890,179850,-0.216374,51.50396,1,3,2,1,25/01/2014,7,16:00
201401BS70063,524300,181280,-0.209966,51.516722,1,3,1,1,01/02/2014,7,08:15
201401BS70065,526610,177280,-0.178126,51.480261,1,3,2,1,08/02/2014,7,18:20
201401BS70066,526190,177450,-0.184111,51.481883,1,3,2,1,11/02/2014,3,09:50
201401BS70067,524010,180100,-0.214559,51.506181,1,3,2,1,11/02/2014,3,18:29
201401BS70069,525960,177420,-0.187432,51.481664,1,3,1,1,29/01/2014,4,17:15
201401BS70074,526090,178880,-0.18504,51.494757,1,3,2,1,15/02/2014,7,23:48
201401BS70075,524940,179230,-0.201473,51.498157,1,3,2,1,15/02/2014,7,23:08
201401BS70076,524360,181190,-0.209134,51.5159,1,3,2,2,15/02/2014,7,15:48
201401BS70077,527200,178760,-0.169102,51.49343,1,3,2,1,15/02/2014,7,01:50
201401BS70078,525450,179980,-0.193863,51.504785,1,3,1,1,14/02/2014,6,14:49
201401BS70080,524860,179170,-0.202646,51.497636,1,3,1,1,14/02/2014,6,18:28
201401BS70081,523970,182180,-0.214404,51.524883,1,3,1,1,10/02/2014,2,19:30
201401BS70082,527780,179690,-0.160415,51.501657,1,3,2,1,11/02/2014,3,08:00
201401BS70083,527440,179340,-0.165437,51.498588,1,3,2,1,31/01/2014,6,07:25
201401BS70084,526720,178720,-0.176027,51.493178,1,3,2,1,13/02/2014,5,22:38
201401BS70085,525260,179010,-0.196944,51.496109,1,3,2,1,18/02/2014,3,18:10
201401BS70086,525320,178910,-0.196115,51.495197,1,3,2,1,19/02/2014,4,18:00
201401BS70087,524300,181750,-0.209801,51.520946,1,3,1,1,19/02/2014,4,17:51
201401BS70089,526080,177790,-0.185573,51.484963,1,3,2,2,20/02/2014,5,18:30
201401BS70090,526830,178780,-0.174422,51.493693,1,3,1,1,20/02/2014,5,08:43
201401BS70091,524800,181620,-0.202644,51.519668,1,3,2,1,13/02/2014,5,23:00
201401BS70092,526930,177490,-0.173445,51.482077,1,3,2,1,22/02/2014,7,18:00
201401BS70093,528540,177940,-0.150108,51.485758,1,3,2,1,06/02/2014,5,09:15
201401BS70095,525040,178600,-0.200256,51.492473,1,3,1,1,27/02/2014,5,17:45
201401BS70096,525550,178160,-0.19307,51.488406,1,3,1,2,27/02/2014,5,09:35
201401BS70097,525220,180970,-0.196824,51.513733,1,3,1,1,18/02/2014,3,16:40
201401BS70101,525810,177910,-0.189417,51.486101,1,3,2,1,02/03/2014,1,20:30
201401BS70102,525650,179680,-0.19109,51.502044,1,3,2,2,01/03/2014,7,10:55
201401BS70103,527230,178090,-0.168911,51.487402,1,3,1,1,28/02/2014,6,19:53
201401BS70104,524500,179360,-0.207763,51.499423,1,3,2,1,28/02/2014,6,21:20
201401BS70105,524480,180150,-0.207772,51.506527,1,3,2,1,28/02/2014,6,19:18
201401BS70106,523760,180770,-0.217924,51.512257,1,3,2,1,27/02/2014,5,13:45
201401BS70107,525470,179590,-0.193714,51.501275,1,2,1,1,03/03/2014,2,12:45
201401BS70108,527350,177650,-0.167342,51.48342,1,3,2,2,03/03/2014,2,15:10
201401BS70109,526300,177390,-0.182549,51.481319,1,3,2,1,03/03/2014,2,09:10
201401BS70110,526080,177260,-0.185762,51.4802,1,3,2,1,14/03/2014,6,20:14
201401BS70113,527730,179390,-0.161244,51.498972,1,3,1,1,07/03/2014,6,08:50
201401BS70114,524910,178760,-0.202071,51.49394,1,3,2,1,07/03/2014,6,17:40
201401BS70115,526220,177840,-0.18354,51.485381,1,2,1,2,10/03/2014,2,20:30
201401BS70116,523850,181170,-0.216487,51.515832,1,2,1,1,10/03/2014,2,07:19
201401BS70117,526140,179570,-0.184073,51.500947,1,3,2,1,05/03/2014,4,16:15
201401BS70118,527980,178690,-0.157898,51.492625,1,3,2,1,11/03/2014,3,10:30
201401BS70119,524450,180130,-0.208211,51.506354,1,3,1,1,12/03/2014,4,17:59
201401BS70121,526760,177740,-0.175802,51.484362,1,3,1,1,14/03/2014,6,03:03
201401BS70122,526650,178800,-0.177006,51.493913,1,3,2,1,03/03/2014,2,09:20
201401BS70123,524500,179190,-0.207823,51.497895,1,3,1,1,14/03/2014,6,13:30
201401BS70124,524680,179450,-0.205139,51.500192,1,3,2,3,18/03/2014,3,10:12
201401BS70126,525400,180110,-0.194537,51.505964,1,3,2,1,18/03/2014,3,21:42
201401BS70127,526940,177890,-0.173158,51.485669,1,3,2,1,18/03/2014,3,18:40
201401BS70128,528050,178690,-0.15689,51.492609,1,3,2,1,05/03/2014,4,16:20
201401BS70129,526080,178880,-0.185184,51.494759,1,3,2,1,15/03/2014,7,14:40
201401BS70130,526080,177610,-0.185637,51.483345,1,3,2,1,17/03/2014,2,16:50
201401BS70133,527440,179340,-0.165437,51.498588,1,3,1,1,19/03/2014,4,16:45
201401BS70134,526380,179620,-0.1806,51.501342,1,3,2,1,19/03/2014,4,15:09
201401BS70136,524450,180130,-0.208211,51.506354,1,3,2,1,21/03/2014,6,10:57
201401BS70137,525560,178170,-0.192923,51.488494,1,3,1,1,22/03/2014,7,20:08
201401BS70138,526720,177800,-0.176357,51.48491,1,3,3,1,22/03/2014,7,18:49
201401BS70139,527890,179180,-0.159016,51.497049,1,3,2,1,22/03/2014,7,22:10
201401BS70140,526420,177920,-0.180632,51.486055,1,3,2,1,28/03/2014,6,10:50
201401BS70141,523330,181730,-0.223782,51.520979,1,2,1,1,23/03/2014,1,02:00
201401BS70142,525420,179500,-0.194466,51.500478,1,3,2,1,22/03/2014,7,19:45
201401BS70143,524790,178920,-0.203743,51.495404,1,3,2,1,20/03/2014,5,22:10
201401BS70144,526090,177600,-0.185497,51.483253,1,3,2,1,21/03/2014,6,19:39
201401BS70145,526590,178100,-0.178121,51.487635,1,2,2,1,16/03/2014,1,12:40
201401BS70146,523250,181640,-0.224966,51.520187,1,3,2,1,20/03/2014,5,17:00
201401BS70147,524420,181890,-0.208023,51.522178,1,3,2,1,24/03/2014,2,23:20
201401BS70148,524640,179230,-0.205793,51.498223,1,3,2,2,24/03/2014,2,17:30
201401BS70149,525360,178830,-0.195568,51.49447,1,3,2,1,08/03/2014,7,14:50
201401BS70150,523160,181570,-0.226287,51.519578,1,3,1,1,26/03/2014,4,08:20
201401BS70152,526870,178790,-0.173842,51.493773,1,3,1,1,25/03/2014,3,13:00
201401BS70153,527190,178510,-0.169336,51.491185,1,3,1,1,25/03/2014,3,19:35
201401BS70155,525190,179360,-0.197827,51.49927,1,3,2,1,25/03/2014,3,08:30
201401BS70156,525920,179710,-0.187191,51.502254,1,3,2,1,25/03/2014,3,19:51
201401BS70157,525940,178860,-0.187207,51.49461,1,3,2,1,26/03/2014,4,17:50
201401BS70159,523690,181740,-0.218592,51.52099,1,3,1,1,27/03/2014,5,17:55
201401BS70160,526180,178890,-0.18374,51.494826,1,3,1,1,27/03/2014,5,18:25
201401BS70161,524730,179100,-0.204543,51.497035,1,3,2,1,27/03/2014,5,13:35
201401BS70162,527960,178840,-0.158131,51.493977,1,3,4,1,30/03/2014,1,16:22
201401BS70163,524250,181420,-0.210637,51.517991,1,3,2,1,28/03/2014,6,09:40
201401BS70164,523760,181510,-0.217664,51.518908,1,3,1,2,30/03/2014,1,14:45
201401BS70165,523920,182330,-0.215071,51.526242,1,3,1,1,28/03/2014,6,09:35
201401BS70166,527610,179500,-0.162932,51.499988,1,3,1,1,28/03/2014,6,16:45
201401BS70167,527100,178380,-0.170678,51.490037,1,2,2,1,28/03/2014,6,20:55
201401BS70168,524610,179030,-0.206295,51.496433,1,3,1,1,29/03/2014,7,13:42
201401BS70171,523780,181260,-0.217464,51.516656,1,3,1,1,17/01/2014,6,12:37
201401BS70172,525740,178270,-0.190296,51.489352,1,3,2,2,12/01/2014,1,21:05
201401BS70173,525340,178020,-0.196143,51.487194,1,3,1,1,16/01/2014,5,08:35
201401BS70174,525650,179650,-0.191101,51.501775,1,3,1,1,17/01/2014,6,17:42
201401BS70175,526300,177390,-0.182549,51.481319,1,3,1,1,16/01/2014,5,09:00
201401BS70176,523210,181610,-0.225552,51.519927,1,3,2,1,17/01/2014,6,16:00
201401BS70177,526410,177440,-0.180948,51.481744,1,3,1,1,13/01/2014,2,19:35
201401BS70178,523870,180620,-0.216392,51.510885,1,3,1,1,16/01/2014,5,11:35
201401BS70179,528010,178230,-0.157632,51.488484,1,3,2,1,15/01/2014,4,18:06
201401BS70180,525670,178420,-0.19125,51.490716,1,3,2,1,14/01/2014,3,07:52
201401BS70181,525490,179530,-0.193447,51.500732,1,3,1,1,07/01/2014,3,17:30
201401BS70182,523610,181930,-0.219678,51.522715,1,2,1,1,10/01/2014,6,16:15
201401BS70183,524450,181010,-0.207901,51.514263,1,3,1,1,20/01/2014,2,15:50
201401BS70185,527490,178260,-0.165107,51.488871,1,3,1,1,16/01/2014,5,12:05
201401BS70186,524060,179680,-0.213986,51.502395,1,2,2,3,14/01/2014,3,10:45
201401BS70187,525010,181470,-0.199672,51.518273,1,3,1,2,13/01/2014,2,17:00
201401BS70188,524460,180140,-0.208064,51.506441,1,3,2,1,15/01/2014,4,08:12
201401BS70189,526670,177340,-0.177241,51.480787,1,3,2,1,11/01/2014,7,11:10
201401BS70190,526260,177770,-0.182989,51.484743,1,2,1,1,06/01/2014,2,08:50
201401BS70191,523650,181840,-0.219133,51.521898,1,3,2,1,20/01/2014,2,20:31
201401BS70192,526450,179230,-0.179731,51.497822,1,3,2,1,17/01/2014,6,08:15
201401BS70193,527710,179140,-0.161622,51.49673,1,3,2,1,08/01/2014,4,07:01
201401BS70194,524000,182070,-0.21401,51.523888,1,3,2,1,13/01/2014,2,20:00
201401BS70195,528520,177940,-0.150396,51.485762,1,3,2,1,15/01/2014,4,15:21
201401BS70196,525860,179510,-0.188127,51.50047,1,3,2,1,27/03/2014,5,09:30
201401BS70198,525370,180290,-0.194905,51.507589,1,3,1,1,24/03/2014,2,15:15
201401BS70201,527950,179400,-0.158072,51.499012,1,3,2,1,02/04/2014,4,15:50
201401BS70202,524130,180010,-0.212862,51.505346,1,3,2,1,02/04/2014,4,08:56
201401BS70203,524960,180380,-0.200778,51.508488,1,3,1,1,01/04/2014,3,18:01
201401BS70204,524390,180110,-0.209083,51.506187,1,3,1,1,03/04/2014,5,10:46
201401BS70205,525440,178280,-0.194611,51.489509,1,3,2,2,03/04/2014,5,12:35
201401BS70207,524090,181850,-0.212791,51.521891,1,3,1,1,03/04/2014,5,08:03
201401BS70208,523900,182340,-0.215356,51.526336,1,3,2,1,04/04/2014,6,11:40
201401BS70210,526940,177490,-0.173301,51.482075,1,3,2,1,06/04/2014,1,09:52
201401BS70214,524210,181100,-0.211326,51.515124,1,3,1,1,09/04/2014,4,09:10
201401BS70215,524790,180300,-0.203255,51.507807,1,3,2,1,09/04/2014,4,11:45
201401BS70217,525020,180380,-0.199914,51.508475,1,3,2,1,09/04/2014,4,16:35
201401BS70218,523910,182330,-0.215215,51.526244,1,3,2,1,10/04/2014,5,09:45
201401BS70219,524430,181590,-0.207985,51.51948,1,3,2,1,09/04/2014,4,19:15
201401BS70220,524170,180680,-0.21205,51.511358,1,3,1,1,12/04/2014,7,12:16
201401BS70221,525240,179060,-0.197214,51.496563,1,3,2,1,12/04/2014,7,23:32
201401BS70222,526220,177740,-0.183575,51.484482,1,3,2,1,11/04/2014,6,09:00
201401BS70223,526670,178190,-0.176937,51.488426,1,2,2,1,11/04/2014,6,14:30
201401BS70225,528540,177930,-0.150112,51.485668,1,3,2,1,15/04/2014,3,06:24
201401BS70226,527940,178910,-0.158394,51.494611,1,3,2,1,15/04/2014,3,11:09
201401BS70227,525950,177410,-0.187579,51.481577,1,3,1,1,14/04/2014,2,21:15
201401BS70228,525520,180530,-0.19266,51.509712,1,3,2,2,15/04/2014,3,09:25
201401BS70229,526690,178970,-0.176369,51.495431,1,3,2,1,14/04/2014,2,14:30
201401BS70231,527910,177760,-0.159242,51.484283,1,3,2,1,16/04/2014,4,20:15
201401BS70232,525860,178750,-0.188398,51.49364,1,3,2,1,16/04/2014,4,08:57
201401BS70233,526800,177770,-0.175216,51.484622,1,3,2,1,16/04/2014,4,07:38
201401BS70234,523910,181390,-0.215546,51.517796,1,3,2,1,16/04/2014,4,09:20
201401BS70236,524630,179040,-0.206004,51.496518,1,3,2,1,28/03/2014,6,09:30
201401BS70238,528000,177840,-0.157918,51.484981,1,3,1,1,21/04/2014,2,01:48
201401BS70239,526110,177290,-0.185319,51.480463,1,2,2,1,19/04/2014,7,00:10
201401BS70240,526350,177850,-0.181665,51.485442,1,3,2,1,19/04/2014,7,10:15
201401BS70241,526520,178030,-0.179153,51.487022,1,2,2,1,19/04/2014,7,13:48
201401BS70243,524490,179390,-0.207896,51.499694,1,3,2,1,21/04/2014,2,10:25
201401BS70244,527220,178900,-0.168763,51.494683,1,3,2,1,21/04/2014,2,21:25
201401BS70245,526930,178350,-0.173136,51.489806,1,3,2,1,23/04/2014,4,11:25
201401BS70246,524170,181640,-0.211712,51.519986,1,3,1,1,23/04/2014,4,08:52
201401BS70247,524720,179110,-0.204683,51.497127,1,3,2,1,22/04/2014,3,10:50
201401BS70248,526550,178070,-0.178707,51.487374,1,3,1,1,22/04/2014,3,20:27
201401BS70249,526260,178810,-0.182617,51.49409,1,3,1,1,22/04/2014,3,18:41
201401BS70250,526010,177720,-0.186605,51.484349,1,2,1,1,06/01/2014,2,17:15
201401BS70252,526080,177260,-0.185762,51.4802,1,3,2,1,14/04/2014,2,12:20
201401BS70253,526020,177520,-0.186533,51.48255,1,3,2,1,28/04/2014,2,21:20
201401BS70254,524880,181410,-0.201566,51.517763,1,3,2,1,24/04/2014,5,19:26
201401BS70256,523760,181550,-0.21765,51.519267,1,3,2,1,24/04/2014,5,17:20
201401BS70257,525240,180520,-0.196696,51.509684,1,3,1,1,24/04/2014,5,10:38
201401BS70259,525190,180430,-0.197448,51.508887,1,2,1,1,25/04/2014,6,09:55
201401BS70261,523960,182180,-0.214548,51.524885,1,2,3,1,28/04/2014,2,14:45
201401BS70262,526430,177930,-0.180485,51.486143,1,3,1,1,28/04/2014,2,19:00
201401BS70263,524740,181680,-0.203487,51.52022,1,3,2,1,29/04/2014,3,00:48
201401BS70264,526030,177530,-0.186385,51.482637,1,2,2,1,29/04/2014,3,20:05
201401BS70266,526590,177270,-0.178418,51.480176,1,3,2,1,29/04/2014,3,08:37
201401BS70267,524390,180100,-0.209086,51.506097,1,3,3,1,28/04/2014,2,09:32
201401BS70268,523420,181190,-0.222674,51.516106,1,3,2,1,29/04/2014,3,16:35
201401BS70269,527830,178550,-0.160108,51.4914,1,3,2,1,29/04/2014,3,18:15
201401BS70272,526300,178720,-0.182073,51.493272,1,3,2,1,30/04/2014,4,07:25
201401BS70273,526920,178790,-0.173122,51.493762,1,3,2,1,30/04/2014,4,09:45
201401BS70274,526900,178950,-0.173353,51.495205,1,3,1,1,30/04/2014,4,10:40
201401BS70275,526240,178900,-0.182873,51.494903,1,3,1,1,30/04/2014,4,09:46
201401BS70276,526690,177350,-0.17695,51.480872,1,3,2,1,08/04/2014,3,17:25
201401BS70277,524590,181280,-0.205789,51.516658,1,3,1,1,01/05/2014,5,12:40
201401BS70278,525460,179600,-0.193854,51.501367,1,3,1,1,01/05/2014,5,12:20
201401BS70279,524990,181320,-0.200013,51.516929,1,3,2,1,06/05/2014,3,19:20
201401BS70280,527230,177880,-0.168987,51.485514,1,3,3,3,04/05/2014,1,17:01
201401BS70281,523520,181060,-0.221279,51.514916,1,2,1,1,05/05/2014,2,18:00
201401BS70282,527870,178580,-0.159521,51.491661,1,3,2,1,05/05/2014,2,02:25
201401BS70283,527370,178650,-0.166694,51.492403,1,3,1,1,02/05/2014,6,08:55
201401BS70284,526170,177320,-0.184445,51.480719,1,3,1,1,03/05/2014,7,23:00
201401BS70285,525200,180420,-0.197308,51.508795,1,3,1,1,04/05/2014,1,13:16
201401BS70286,527460,179020,-0.165265,51.495708,1,3,2,1,01/05/2014,5,17:15
201401BS70287,527870,179230,-0.159286,51.497503,1,3,2,1,28/04/2014,2,09:25
201401BS70288,526040,178410,-0.185927,51.490544,1,3,2,1,28/04/2014,2,13:10
201401BS70290,525690,178250,-0.191023,51.489184,1,3,2,1,06/05/2014,3,12:40
201401BS70291,524630,179050,-0.206,51.496608,1,2,2,2,06/05/2014,3,18:21
201401BS70292,524690,180250,-0.204713,51.507379,1,3,2,2,06/05/2014,3,16:30
201401BS70293,523990,180140,-0.214833,51.506545,1,3,3,2,07/05/2014,4,17:45
201401BS70294,525310,179430,-0.196075,51.499873,1,3,2,1,22/04/2014,3,19:55
201401BS70295,525410,179510,-0.194606,51.50057,1,3,1,1,13/01/2014,2,13:15
201401BS70296,526280,177790,-0.182694,51.484918,1,3,2,1,07/05/2014,4,17:12
201401BS70297,523950,180840,-0.215163,51.512845,1,3,2,1,08/05/2014,5,19:00
201401BS70298,524920,178760,-0.201927,51.493938,1,3,2,1,08/05/2014,5,18:00
201401BS70299,527890,179180,-0.159016,51.497049,1,3,2,1,08/05/2014,5,23:14
201401BS70303,524200,180050,-0.21184,51.50569,1,3,2,1,09/05/2014,6,12:00
201401BS70304,525370,178820,-0.195427,51.494377,1,3,2,1,09/05/2014,6,08:10
201401BS70305,524170,181640,-0.211712,51.519986,1,3,2,1,10/05/2014,7,15:15
201401BS70306,525290,178960,-0.196529,51.495653,1,3,2,1,12/05/2014,2,08:30
201401BS70307,525320,178830,-0.196144,51.494478,1,3,2,1,23/04/2014,4,17:55
201401BS70308,526880,179010,-0.173619,51.495748,1,3,1,1,30/04/2014,4,16:50
201401BS70309,527900,177760,-0.159386,51.484285,1,3,2,1,13/05/2014,3,16:50
201401BS70310,523790,182540,-0.216871,51.528158,1,3,2,1,17/04/2014,5,17:08
201401BS70311,527720,178600,-0.161673,51.491875,1,2,1,1,14/05/2014,4,18:45
201401BS70312,526030,177530,-0.186385,51.482637,1,3,2,1,13/05/2014,3,09:15
201401BS70313,526710,179650,-0.175837,51.501538,1,3,2,1,09/05/2014,6,19:10
201401BS70316,527180,179110,-0.169264,51.49658,1,3,2,1,16/05/2014,6,10:00
201401BS70317,526810,178810,-0.174699,51.493967,1,3,2,2,17/05/2014,7,13:00
201401BS70318,524810,178990,-0.20343,51.496029,1,3,1,1,18/05/2014,1,11:10
201401BS70319,526880,178430,-0.173827,51.490536,1,2,2,1,07/05/2014,4,09:30
201401BS70320,524060,179700,-0.213979,51.502575,1,3,2,1,14/05/2014,4,18:21
201401BS70321,525500,179550,-0.193296,51.500909,1,3,2,1,16/05/2014,6,07:57
201401BS70322,525480,179040,-0.193765,51.49633,1,2,2,1,19/05/2014,2,18:20
201401BS70323,526220,178950,-0.183143,51.495357,1,3,2,1,19/05/2014,2,13:25
201401BS70324,526380,178190,-0.181111,51.488491,1,3,2,1,19/05/2014,2,22:19
201401BS70325,528550,177910,-0.149975,51.485486,1,3,2,1,19/05/2014,2,21:48
201401BS70326,525210,180450,-0.197153,51.509062,1,3,1,1,20/05/2014,3,12:14
201401BS70327,527990,178910,-0.157674,51.4946,1,3,2,1,20/05/2014,3,08:50
201401BS70328,526130,179650,-0.184189,51.501668,1,3,2,1,20/05/2014,3,16:10
201401BS70329,523980,179790,-0.2151,51.503401,1,3,2,1,21/05/2014,4,09:12
201401BS70330,527450,177650,-0.165903,51.483398,1,3,2,1,21/05/2014,4,16:10
201401BS70331,524660,179070,-0.205561,51.496781,1,3,1,1,21/05/2014,4,07:55
201401BS70332,526220,178950,-0.183143,51.495357,1,3,2,1,17/05/2014,7,15:30
201401BS70334,524770,181910,-0.202973,51.522281,1,3,2,1,17/05/2014,7,17:30
201401BS70335,528010,178230,-0.157632,51.488484,1,3,2,1,22/05/2014,5,08:00
201401BS70336,526170,179140,-0.183795,51.497075,1,3,2,1,23/05/2014,6,08:00
201401BS70338,523960,182210,-0.214537,51.525155,1,3,1,1,26/05/2014,2,18:15
201401BS70339,525210,180440,-0.197156,51.508972,1,3,2,1,23/05/2014,6,07:40
201401BS70340,527210,178780,-0.168951,51.493607,1,2,2,1,24/05/2014,7,00:48
201401BS70341,524590,180000,-0.206241,51.505155,1,3,2,1,21/05/2014,4,08:45
201401BS70343,526370,177250,-0.181591,51.480045,1,3,2,1,12/05/2014,2,13:40
201401BS70344,527340,179680,-0.166754,51.501666,1,3,1,1,17/05/2014,7,13:00
201401BS70345,528120,178350,-0.156005,51.489538,1,3,1,1,28/05/2014,4,11:26
201401BS70347,528120,179770,-0.15549,51.502299,1,3,2,1,14/05/2014,4,16:10
201401BS70349,527360,177640,-0.167202,51.483328,1,3,1,1,30/05/2014,6,06:44
201401BS70351,525630,178480,-0.191805,51.491264,1,3,2,1,30/05/2014,6,15:58
201401BS70352,526030,177850,-0.186271,51.485513,1,3,2,1,29/05/2014,5,16:10
201401BS70353,526880,179040,-0.173608,51.496018,1,3,1,1,29/05/2014,5,13:30
201401BS70354,525470,179530,-0.193735,51.500736,1,3,2,1,30/05/2014,6,07:15
201401BS70355,526520,178790,-0.178881,51.493852,1,3,1,1,31/05/2014,7,16:45
201401BS70356,526440,179320,-0.179843,51.498633,1,3,2,1,19/05/2014,2,08:15
201401BS70357,526440,178490,-0.18014,51.491174,1,2,2,1,03/06/2014,3,05:57
201401BS70358,527330,177650,-0.16763,51.483425,1,3,2,1,04/06/2014,4,07:15
201401BS70359,524630,181210,-0.205238,51.51602,1,3,1,1,03/06/2014,3,16:43
201401BS70360,527590,177740,-0.163855,51.484175,1,3,2,1,04/06/2014,4,22:02
201401BS70361,527950,178890,-0.158257,51.494429,1,3,1,1,03/06/2014,3,17:55
201401BS70362,527400,179300,-0.166028,51.498238,1,3,3,1,03/06/2014,3,20:00
201401BS70365,523530,180910,-0.221188,51.513566,1,3,3,2,06/06/2014,6,13:45
201401BS70366,527780,179680,-0.160419,51.501567,1,3,1,1,06/06/2014,6,16:52
201401BS70368,526450,177460,-0.180365,51.481915,1,3,2,1,05/06/2014,5,21:11
201401BS70369,524080,181290,-0.213132,51.51686,1,3,2,1,10/06/2014,3,16:00
201401BS70370,526230,178900,-0.183017,51.494905,1,3,1,2,10/06/2014,3,18:20
201401BS70371,527620,178500,-0.163149,51.490999,1,3,1,1,10/06/2014,3,19:10
201401BS70372,525610,179620,-0.191687,51.501514,1,3,2,1,10/06/2014,3,11:30
201401BS70373,527660,179310,-0.16228,51.498269,1,3,2,1,06/05/2014,3,19:05
201401BS70374,527470,178250,-0.165399,51.488786,1,3,2,1,11/06/2014,4,08:50
201401BS70375,525570,179080,-0.192455,51.49667,1,3,1,1,11/06/2014,4,08:30
201401BS70376,527080,177550,-0.171265,51.482582,1,3,2,1,11/06/2014,4,19:00
201401BS70378,523190,181610,-0.225841,51.519931,1,3,2,1,14/06/2014,7,15:30
201401BS70379,527740,178470,-0.161432,51.490702,1,2,1,1,14/06/2014,7,14:26
201401BS70380,524940,180370,-0.20107,51.508403,1,3,2,1,14/06/2014,7,09:49
201401BS70381,524410,181100,-0.208445,51.51508,1,3,2,1,13/06/2014,6,16:00
201401BS70385,525540,178600,-0.193058,51.492363,1,3,2,1,12/06/2014,5,11:10
